"time","geo_value","geo_type","covid","Season","flu","rsv"
"2020-08-29","East","OH Region",11,"2020-2021",NA,NA
"2020-08-29","North East","OH Region",0,"2020-2021",NA,NA
"2020-08-29","North West","OH Region",0,"2020-2021",NA,NA
"2020-08-29","Ontario","Province",50,"2020-2021",NA,NA
"2020-08-29","Toronto","OH Region",10,"2020-2021",NA,NA
"2020-08-29","West","OH Region",15,"2020-2021",NA,NA
"2020-09-05","Central","OH Region",23,"2020-2021",NA,NA
"2020-09-05","East","OH Region",10,"2020-2021",NA,NA
"2020-09-05","North East","OH Region",0,"2020-2021",NA,NA
"2020-09-05","North West","OH Region",0,"2020-2021",NA,NA
"2020-09-05","Ontario","Province",60,"2020-2021",NA,NA
"2020-09-05","Toronto","OH Region",13,"2020-2021",NA,NA
"2020-09-05","West","OH Region",21,"2020-2021",NA,NA
"2020-09-12","Central","OH Region",18,"2020-2021",NA,NA
"2020-09-12","East","OH Region",10,"2020-2021",NA,NA
"2020-09-12","North East","OH Region",0,"2020-2021",NA,NA
"2020-09-12","North West","OH Region",0,"2020-2021",NA,NA
"2020-09-12","Ontario","Province",49,"2020-2021",NA,NA
"2020-09-12","Toronto","OH Region",17,"2020-2021",NA,NA
"2020-09-12","West","OH Region",7,"2020-2021",NA,NA
"2020-09-19","Central","OH Region",23,"2020-2021",NA,NA
"2020-09-19","East","OH Region",11,"2020-2021",NA,NA
"2020-09-19","North East","OH Region",1,"2020-2021",NA,NA
"2020-09-19","North West","OH Region",0,"2020-2021",NA,NA
"2020-09-19","Ontario","Province",58,"2020-2021",NA,NA
"2020-09-19","Toronto","OH Region",21,"2020-2021",NA,NA
"2020-09-19","West","OH Region",8,"2020-2021",NA,NA
"2020-09-26","Central","OH Region",30,"2020-2021",NA,NA
"2020-09-26","East","OH Region",20,"2020-2021",NA,NA
"2020-09-26","North East","OH Region",0,"2020-2021",NA,NA
"2020-09-26","North West","OH Region",0,"2020-2021",NA,NA
"2020-09-26","Ontario","Province",98,"2020-2021",NA,NA
"2020-09-26","Toronto","OH Region",41,"2020-2021",NA,NA
"2020-09-26","West","OH Region",11,"2020-2021",NA,NA
"2020-10-03","Central","OH Region",28,"2020-2021",NA,NA
"2020-10-03","East","OH Region",47,"2020-2021",NA,NA
"2020-10-03","North East","OH Region",1,"2020-2021",NA,NA
"2020-10-03","North West","OH Region",0,"2020-2021",NA,NA
"2020-10-03","Ontario","Province",159,"2020-2021",NA,NA
"2020-10-03","Toronto","OH Region",75,"2020-2021",NA,NA
"2020-10-03","West","OH Region",15,"2020-2021",NA,NA
"2020-10-10","Central","OH Region",42,"2020-2021",NA,NA
"2020-10-10","East","OH Region",49,"2020-2021",NA,NA
"2020-10-10","North East","OH Region",1,"2020-2021",NA,NA
"2020-10-10","North West","OH Region",0,"2020-2021",NA,NA
"2020-10-10","Ontario","Province",208,"2020-2021",NA,NA
"2020-10-10","Toronto","OH Region",107,"2020-2021",NA,NA
"2020-10-10","West","OH Region",17,"2020-2021",NA,NA
"2020-10-17","Central","OH Region",57,"2020-2021",NA,NA
"2020-10-17","East","OH Region",56,"2020-2021",NA,NA
"2020-10-17","North East","OH Region",2,"2020-2021",NA,NA
"2020-10-17","North West","OH Region",0,"2020-2021",NA,NA
"2020-10-17","Ontario","Province",252,"2020-2021",NA,NA
"2020-10-17","Toronto","OH Region",122,"2020-2021",NA,NA
"2020-10-17","West","OH Region",23,"2020-2021",NA,NA
"2020-10-24","Central","OH Region",74,"2020-2021",NA,NA
"2020-10-24","East","OH Region",47,"2020-2021",NA,NA
"2020-10-24","North East","OH Region",0,"2020-2021",NA,NA
"2020-10-24","North West","OH Region",0,"2020-2021",NA,NA
"2020-10-24","Ontario","Province",282,"2020-2021",NA,NA
"2020-10-24","Toronto","OH Region",142,"2020-2021",NA,NA
"2020-10-24","West","OH Region",28,"2020-2021",NA,NA
"2020-10-31","Central","OH Region",81,"2020-2021",NA,NA
"2020-10-31","East","OH Region",44,"2020-2021",NA,NA
"2020-10-31","North East","OH Region",2,"2020-2021",NA,NA
"2020-10-31","North West","OH Region",1,"2020-2021",NA,NA
"2020-10-31","Ontario","Province",324,"2020-2021",NA,NA
"2020-10-31","Toronto","OH Region",180,"2020-2021",NA,NA
"2020-10-31","West","OH Region",27,"2020-2021",NA,NA
"2020-11-07","Central","OH Region",92,"2020-2021",NA,NA
"2020-11-07","East","OH Region",51,"2020-2021",NA,NA
"2020-11-07","North East","OH Region",2,"2020-2021",NA,NA
