"time_value","geo_type","geo_value","rsv_pct_positive","flu_pct_positive","sarscov2_pct_positive","Season"
"2021-02-20","province","nl",0,0,NA,"2020-2021"
"2021-02-20","province","sk",0,0,NA,"2020-2021"
"2021-02-20","province","nb",0,0,NA,"2020-2021"
"2021-02-20","province","mb",0.19,0,NA,"2020-2021"
"2021-02-20","province","ab",0,0.04,NA,"2020-2021"
"2021-02-20","territory","nt",0,0,NA,"2020-2021"
"2021-02-20","province","pe",0,0,NA,"2020-2021"
"2021-02-20","territory","yk",0,0,NA,"2020-2021"
"2021-02-20","territory","nu",0,0,NA,"2020-2021"
"2021-02-13","province","pe",0,0,NA,"2020-2021"
"2021-02-13","province","nl",0.48,0.24,NA,"2020-2021"
"2021-02-13","province","ab",0,0.04,NA,"2020-2021"
"2021-02-13","province","mb",0,0,NA,"2020-2021"
"2021-02-13","province","nb",0,0,NA,"2020-2021"
"2021-02-13","territory","yk",NA,NA,NA,"2020-2021"
"2021-02-13","province","ns",0,0,NA,"2020-2021"
"2021-02-13","territory","nt",0,0,NA,"2020-2021"
"2021-02-13","territory","nu",0,0,NA,"2020-2021"
"2021-02-13","province","sk",0,0,NA,"2020-2021"
"2021-02-06","province","ns",0,0,NA,"2020-2021"
"2021-02-06","province","nl",0,0,NA,"2020-2021"
"2021-02-06","province","nb",0,0,NA,"2020-2021"
"2021-02-06","province","mb",0.2,0,NA,"2020-2021"
"2021-02-06","province","ab",0,0,NA,"2020-2021"
"2021-02-06","province","pe",0,0,NA,"2020-2021"
"2021-02-06","territory","yk",NA,NA,NA,"2020-2021"
"2021-02-06","territory","nu",0,0,NA,"2020-2021"
"2021-02-06","territory","nt",0,0,NA,"2020-2021"
"2021-02-06","province","sk",0,0,NA,"2020-2021"
"2021-01-30","territory","nu",0,0,NA,"2020-2021"
"2021-01-30","province","sk",1.09,0,NA,"2020-2021"
"2021-01-30","province","pe",0,0,NA,"2020-2021"
"2021-01-30","province","ns",0,0,NA,"2020-2021"
"2021-01-30","province","nl",0,0,NA,"2020-2021"
"2021-01-30","province","nb",0,0,NA,"2020-2021"
"2021-01-30","province","mb",NA,NA,NA,"2020-2021"
"2021-01-30","province","ab",0,0,NA,"2020-2021"
"2021-01-30","territory","nt",0,0,NA,"2020-2021"
"2021-01-30","territory","yk",NA,NA,NA,"2020-2021"
"2021-01-23","province","pe",0.53,0,NA,"2020-2021"
"2021-01-23","province","ns",0,0,NA,"2020-2021"
"2021-01-23","province","nl",NA,NA,NA,"2020-2021"
"2021-01-23","province","nb",0,0,NA,"2020-2021"
"2021-01-23","province","mb",NA,NA,NA,"2020-2021"
"2021-01-23","province","ab",0,0,NA,"2020-2021"
"2021-01-23","territory","yk",NA,NA,NA,"2020-2021"
"2021-01-23","territory","nu",0,0,NA,"2020-2021"
"2021-01-23","territory","nt",0,0,NA,"2020-2021"
"2021-01-23","province","sk",0,0,NA,"2020-2021"
